description,industry,level,size,line_code,value,Unit,footnotes
"To do things in D04, how important was: other financial incentives: don't know",total,0,50–99 employees,D0510.04,231,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: other financial incentives: don't know",total,0,100+ employees,D0510.04,261,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: other financial incentives: don't know","Agriculture, forestry, & fishing",1,total,D0510.04,252,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Agriculture,2,total,D0510.04,195,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Commercial fishing,2,total,D0510.04,0,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Forestry & logging,2,total,D0510.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Agriculture, forestry, & fishing support services",2,total,D0510.04,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Mining,1,total,D0510.04,9,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: other financial incentives: don't know",Manufacturing,1,total,D0510.04,528,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Food, beverage, & tobacco",2,total,D0510.04,144,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Textile, clothing, footwear, & leather",2,total,D0510.04,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Wood & paper product,2,total,D0510.04,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Printing, publishing, & recorded media",2,total,D0510.04,21,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Petroleum, coal, chemical, & associated product",2,total,D0510.04,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Non-metallic mineral product,2,total,D0510.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Metal product,2,total,D0510.04,126,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Transport and industrial machinery & equipment,2,total,D0510.04,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Other machinery & equipment,2,total,D0510.04,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Other manufacturing,2,total,D0510.04,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Electricity, gas, water, & waste services",1,total,D0510.04,9,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: other financial incentives: don't know",Construction,1,total,D0510.04,573,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Wholesale trade,1,total,D0510.04,297,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Machinery & equipment wholesaling,2,total,D0510.04,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Other wholesale trade,2,total,D0510.04,228,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Retail trade,1,total,D0510.04,558,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Accommodation & food services,1,total,D0510.04,942,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Transport, postal, & warehousing",1,total,D0510.04,192,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Information media & telecommunications,1,total,D0510.04,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Publishing,2,total,D0510.04,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Motion picture,2,total,D0510.04,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Telecommunications,2,total,D0510.04,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Financial & insurance services,1,total,D0510.04,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Finance,2,total,D0510.04,21,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Insurance,2,total,D0510.04,0,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Auxiliary,2,total,D0510.04,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Rental, hiring, & real estate services",1,total,D0510.04,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know","Professional, scientific, & technical services",1,total,D0510.04,420,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Computer systems design,2,total,D0510.04,81,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Other professional scientific,2,total,D0510.04,342,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Administrative & support services,1,total,D0510.04,165,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Education & training,1,total,D0510.04,78,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Health care & social assistance,1,total,D0510.04,243,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Arts & recreation services,1,total,D0510.04,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",Other services,1,total,D0510.04,63,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: other financial incentives: don't know",total,0,total,D0510.04,4485,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",total,0,6–19 employees,D0511.01,4281,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",total,0,20–49 employees,D0511.01,1572,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",total,0,50–99 employees,D0511.01,486,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",total,0,100+ employees,D0511.01,432,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Agriculture, forestry, & fishing",1,total,D0511.01,342,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Agriculture,2,total,D0511.01,237,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Commercial fishing,2,total,D0511.01,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Forestry & logging,2,total,D0511.01,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Agriculture, forestry, & fishing support services",2,total,D0511.01,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Mining,1,total,D0511.01,18,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Manufacturing,1,total,D0511.01,924,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Food, beverage, & tobacco",2,total,D0511.01,198,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Textile, clothing, footwear, & leather",2,total,D0511.01,45,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Wood & paper product,2,total,D0511.01,99,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Printing, publishing, & recorded media",2,total,D0511.01,54,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Petroleum, coal, chemical, & associated product",2,total,D0511.01,99,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Non-metallic mineral product,2,total,D0511.01,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Metal product,2,total,D0511.01,96,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Transport and industrial machinery & equipment,2,total,D0511.01,162,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Other machinery & equipment,2,total,D0511.01,48,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Other manufacturing,2,total,D0511.01,99,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Electricity, gas, water, & waste services",1,total,D0511.01,33,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Construction,1,total,D0511.01,1005,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Wholesale trade,1,total,D0511.01,528,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Machinery & equipment wholesaling,2,total,D0511.01,192,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Other wholesale trade,2,total,D0511.01,336,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Retail trade,1,total,D0511.01,450,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Accommodation & food services,1,total,D0511.01,705,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Transport, postal, & warehousing",1,total,D0511.01,138,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Information media & telecommunications,1,total,D0511.01,111,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Publishing,2,total,D0511.01,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Motion picture,2,total,D0511.01,42,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Telecommunications,2,total,D0511.01,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Financial & insurance services,1,total,D0511.01,105,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Finance,2,total,D0511.01,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Insurance,2,total,D0511.01,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Auxiliary,2,total,D0511.01,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Rental, hiring, & real estate services",1,total,D0511.01,192,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important","Professional, scientific, & technical services",1,total,D0511.01,1092,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Computer systems design,2,total,D0511.01,207,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Other professional scientific,2,total,D0511.01,888,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Administrative & support services,1,total,D0511.01,270,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Education & training,1,total,D0511.01,240,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Health care & social assistance,1,total,D0511.01,498,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Arts & recreation services,1,total,D0511.01,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",Other services,1,total,D0511.01,90,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: not important",total,0,total,D0511.01,6771,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",total,0,6–19 employees,D0511.02,3924,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",total,0,20–49 employees,D0511.02,1191,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",total,0,50–99 employees,D0511.02,564,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",total,0,100+ employees,D0511.02,570,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Agriculture, forestry, & fishing",1,total,D0511.02,549,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Agriculture,2,total,D0511.02,474,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Commercial fishing,2,total,D0511.02,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Forestry & logging,2,total,D0511.02,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Agriculture, forestry, & fishing support services",2,total,D0511.02,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Mining,1,total,D0511.02,18,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Manufacturing,1,total,D0511.02,753,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Food, beverage, & tobacco",2,total,D0511.02,159,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Textile, clothing, footwear, & leather",2,total,D0511.02,63,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Wood & paper product,2,total,D0511.02,75,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Printing, publishing, & recorded media",2,total,D0511.02,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Petroleum, coal, chemical, & associated product",2,total,D0511.02,102,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Non-metallic mineral product,2,total,D0511.02,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Metal product,2,total,D0511.02,153,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Transport and industrial machinery & equipment,2,total,D0511.02,78,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Other machinery & equipment,2,total,D0511.02,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Other manufacturing,2,total,D0511.02,39,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Electricity, gas, water, & waste services",1,total,D0511.02,42,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Construction,1,total,D0511.02,750,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Wholesale trade,1,total,D0511.02,645,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Machinery & equipment wholesaling,2,total,D0511.02,165,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Other wholesale trade,2,total,D0511.02,477,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Retail trade,1,total,D0511.02,879,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Accommodation & food services,1,total,D0511.02,537,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Transport, postal, & warehousing",1,total,D0511.02,282,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Information media & telecommunications,1,total,D0511.02,84,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Publishing,2,total,D0511.02,51,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Motion picture,2,total,D0511.02,18,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Telecommunications,2,total,D0511.02,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Financial & insurance services,1,total,D0511.02,84,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Finance,2,total,D0511.02,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Insurance,2,total,D0511.02,6,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Auxiliary,2,total,D0511.02,48,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Rental, hiring, & real estate services",1,total,D0511.02,141,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important","Professional, scientific, & technical services",1,total,D0511.02,594,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Computer systems design,2,total,D0511.02,96,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Other professional scientific,2,total,D0511.02,498,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Administrative & support services,1,total,D0511.02,186,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Education & training,1,total,D0511.02,93,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Health care & social assistance,1,total,D0511.02,399,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Arts & recreation services,1,total,D0511.02,87,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",Other services,1,total,D0511.02,123,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: moderately important",total,0,total,D0511.02,6249,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",total,0,6–19 employees,D0511.03,3147,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",total,0,20–49 employees,D0511.03,1092,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",total,0,50–99 employees,D0511.03,357,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",total,0,100+ employees,D0511.03,399,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Agriculture, forestry, & fishing",1,total,D0511.03,750,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Agriculture,2,total,D0511.03,579,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Commercial fishing,2,total,D0511.03,9,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Forestry & logging,2,total,D0511.03,54,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Agriculture, forestry, & fishing support services",2,total,D0511.03,108,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Mining,1,total,D0511.03,18,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Manufacturing,1,total,D0511.03,654,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Food, beverage, & tobacco",2,total,D0511.03,276,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Textile, clothing, footwear, & leather",2,total,D0511.03,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Wood & paper product,2,total,D0511.03,84,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Printing, publishing, & recorded media",2,total,D0511.03,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Petroleum, coal, chemical, & associated product",2,total,D0511.03,36,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Non-metallic mineral product,2,total,D0511.03,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Metal product,2,total,D0511.03,75,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Transport and industrial machinery & equipment,2,total,D0511.03,66,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Other machinery & equipment,2,total,D0511.03,30,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Other manufacturing,2,total,D0511.03,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Electricity, gas, water, & waste services",1,total,D0511.03,45,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Construction,1,total,D0511.03,381,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Wholesale trade,1,total,D0511.03,306,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Machinery & equipment wholesaling,2,total,D0511.03,105,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Other wholesale trade,2,total,D0511.03,198,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Retail trade,1,total,D0511.03,522,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Accommodation & food services,1,total,D0511.03,423,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Transport, postal, & warehousing",1,total,D0511.03,264,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Information media & telecommunications,1,total,D0511.03,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Publishing,2,total,D0511.03,24,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Motion picture,2,total,D0511.03,21,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Telecommunications,2,total,D0511.03,21,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Financial & insurance services,1,total,D0511.03,87,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Finance,2,total,D0511.03,27,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Insurance,2,total,D0511.03,12,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Auxiliary,2,total,D0511.03,48,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Rental, hiring, & real estate services",1,total,D0511.03,120,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important","Professional, scientific, & technical services",1,total,D0511.03,438,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Computer systems design,2,total,D0511.03,63,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Other professional scientific,2,total,D0511.03,378,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Administrative & support services,1,total,D0511.03,255,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Education & training,1,total,D0511.03,138,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Health care & social assistance,1,total,D0511.03,312,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Arts & recreation services,1,total,D0511.03,105,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",Other services,1,total,D0511.03,102,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: very important",total,0,total,D0511.03,4992,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",total,0,6–19 employees,D0511.04,2406,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",total,0,20–49 employees,D0511.04,516,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",total,0,50–99 employees,D0511.04,150,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",total,0,100+ employees,D0511.04,150,Number of businesses,1 and 2 and 3 and 4 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Agriculture, forestry, & fishing",1,total,D0511.04,105,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Agriculture,2,total,D0511.04,69,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Commercial fishing,2,total,D0511.04,0,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Forestry & logging,2,total,D0511.04,3,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know","Agriculture, forestry, & fishing support services",2,total,D0511.04,33,Number of businesses,1 and 2 and 3 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Mining,1,total,D0511.04,9,Number of businesses,1 and 2 and 3 and 5 and 6
"To do things in D04, how important was: current or expected physical impacts of climate change: don’t know",Manufacturing,1,total,D0511.04,336,Number of businesses,1 and 2 and 3 and 6
